TelegramFileName,Type,Topic,SeriesName,SequenceInSeries,SubTopic,Serial,OriginalAuthor,Location/Online,Sheikh,DateInArabic,DateInGreg,DayOfWeek,ClipLength,Category,MatchedBy,doubtsStatus
التعليق_على_كتاب_تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة.mp3,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,38,﴿,(39),أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Thursday,29:10,Hadeeth,Manual-style (1),"Day mismatch: Thursday (expected: Sunday, Monday)"
التعليق_على_كتاب_تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة.mp3,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,39,﴿,(40),أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Thursday,33:18,Hadeeth,Manual-style (1),"Day mismatch: Thursday (expected: Sunday, Monday)"
Mp3 Editor_251127124529.mp3,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,40,Not Available,السادس  بجامع,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,27.11.2025,Thursday,42:40,Hadeeth,Manual-style (1),"Day mismatch: Thursday (expected: Sunday, Monday)"
Mp3 Editor_251127133948.mp3,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,41,Not Available,السابع  بجامع,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,27.11.2025,Thursday,43:57,Hadeeth,Manual-style (1),"Day mismatch: Thursday (expected: Sunday, Monday)"
Mp3 Editor_251129224717.mp3,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,42,Not Available,الثامن  بجامع,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,30.11.2025,Sunday,55:43,Hadeeth,Manual-style (1),none
Mp3 Editor_251202153513.mp3,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,43,Not Available,التاسع ونهاية,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,02.12.2025,Tuesday,55:49,Hadeeth,Manual-style (1),"Day mismatch: Tuesday (expected: Sunday, Monday)"
Mp3 Editor_251208205847.mp3,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,44,الصلاة بجامع الورود,الثاني من,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,08.12.2025,Monday,42:51,Hadeeth,Manual-style (1),none
Mp3 Editor_251208210432.mp3,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,45,الصلاة بجامع الورود,الثالث من,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,08.12.2025,Monday,33:27,Hadeeth,Manual-style (1),none
AUD-20251213-WA0001.m4a,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,46,الصلاة بجامع الورود,الأول من,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,13.12.2025,Saturday,45:03,Hadeeth,Manual-style (1),"Day mismatch: Saturday (expected: Sunday, Monday)"
AUD-20251208-WA0007.m4a,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,47,الصلاة بجامع الورود,الرابع من,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,18.12.2025,Thursday,44:32,Hadeeth,Manual-style (1),"Day mismatch: Thursday (expected: Sunday, Monday)"
AUD-20251218-WA0000.m4a,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,48,الصلاة بجامع الورود,الخامس من,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,18.12.2025,Thursday,52:52,Hadeeth,Manual-style (1),"Day mismatch: Thursday (expected: Sunday, Monday)"
AUDIO-2025-12-22-14-05-29.m4a,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,49,الصلاة بجامع الورود,السابع من,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,22.12.2025,Monday,42:29,Hadeeth,Manual-style (1),none
AUDIO-2025-12-22-17-23-19.m4a,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,50,الصلاة بجامع الورود,السادس من,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,22.12.2025,Monday,50:34,Hadeeth,Manual-style (1),none
AUDIO-2025-12-22-17-31-28.m4a,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,51,الصلاة بجامع الورود,الثامن من,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,22.12.2025,Monday,29:39,Hadeeth,Manual-style (1),none
AUDIO-2025-12-28-19-49-38.m4a,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,52,الصلاة بجامع الورود,التاسع من,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,28.12.2025,Sunday,54:29,Hadeeth,Manual-style (1),none
AUDIO-2025-12-29-20-23-21.m4a,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,53,الصلاة بجامع الورود,العاشر من,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,30.12.2025,Tuesday,53:49,Hadeeth,Manual-style (1),"Day mismatch: Tuesday (expected: Sunday, Monday)"
AUDIO-2026-01-18-20-40-12.m4a,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,54,الصلاة بجامع الورود,الحادي عشر,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,19.01.2026,Monday,32:54,Hadeeth,Manual-style (1),none
AUDIO-2026-01-19-18-59-34.m4a,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,55,الصلاة بجامع الورود,الثاني عشر,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,19.01.2026,Monday,29:30,Hadeeth,Manual-style (1),none
مفاسد المظاهرات.m4a,Khutba,#خطبة_الجمعة,Not Available,1,Not Available,Not Available,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,03.10.2025,Friday,14:56,Other,Khutba Detection,none
Not Available,Khutba,Not Available,Not Available,2,Not Available,Not Available,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,30 شعبان 1438,03.10.2025,Friday,Not Available,Other,Khutba Detection,none
4_5996911497937164125.mp3,Khutba,الخطبة: حقوق كبار السن.,Not Available,3,Not Available,Not Available,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,٢٧/  ٠٣/ ١٤٤٧,08.10.2025,Wednesday,08:23,Other,Khutba Detection,not on Friday
Mp3 Editor_251010210714.mp3,Khutba,الخطبة: النعم في السعودية.,Not Available,4,Not Available,Not Available,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,٤ / ٤ / ١٤٤٧,10.10.2025,Friday,07:44,Other,Khutba Detection,none
Mp3 Editor_251010212128.mp3,Khutba,الخطبة:,Not Available,5,Not Available,Not Available,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,١٨/ ٤ / ١٤٤٧,10.10.2025,Friday,09:08,Other,Khutba Detection,none
Not Available,Khutba,"مستل من خطبة الجمعة:
فصل الشتاء",Not Available,6,Not Available,Not Available,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,28.11.2025,Friday,Not Available,Other,Khutba Detection,none
AUD-20251201-WA0005.mp3,Khutba,#خطبة_الاستسقاء,Not Available,7,Not Available,Not Available,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,٢٢ / ٥ / ١٤٤٧,02.12.2025,Tuesday,08:17,Other,Khutba Detection,not on Friday
Ringtone_AUD-20251207-WA0004.mp3,Khutba,#خطبة_الجمعة,Not Available,8,Not Available,Not Available,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,08.12.2025,Monday,10:07,Other,Khutba Detection,not on Friday
AUD-20251213-WA0013.m4a,Khutba,الخطبة:,Not Available,9,Not Available,Not Available,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,٢١ / ٦ / ١٤٤٧,13.12.2025,Saturday,10:17,Other,Khutba Detection,not on Friday
AUDIO-2025-12-26-14-10-13.m4a,Khutba,الخطبة:,Not Available,10,Not Available,Not Available,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,٦ / ٧ / ١٤٤٧,26.12.2025,Friday,09:40,Other,Khutba Detection,none
قناة مجالس العلم النافع – خطر المظاهرات في الإسلام,Unknown,Not Available,Not Available,11,Not Available,Not Available,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,03.10.2025,Friday,18:58,Other,Unmatched,Could not match to any series
