SeriesName,Location,DayOfWeek,Category,OriginalAuthor,LessonSeq,RecordingDate,Serial,SubTopic,TelegramFileName,Type,Topic,DateInArabic,ClipLength,doubtsStatus
Unknown,جامع الورود,Friday,Other,Not Available,11,2026-01-02,Not Available,Not Available,AUD-20260102-WA0003.mp3,Khutba,وقفات مع السيرة النبوية (٨),الجمعة ١٢ / ٧ / ١٤٤٧,12:27,none
Unknown,جامع الورود,Friday,Other,Not Available,12,2026-01-16,Not Available,Not Available,AUDIO-2026-01-16-14-51-11.m4a,Khutba,وقفات مع السيرة النبوية (٩),الجمعة ٢٧ / ٧ / ١٤٤٧,12:27,none
الملخص الفقهي,جامع الورود,Thursday,Fiqh,صالح الفوزان,1,2025-10-09,الأول,Not Available,4_5999163297750849130.mp3,Series,Not Available,١٦ / ٣ / ١٤٤٧,11:05,none
الملخص الفقهي,جامع الورود,Thursday,Fiqh,صالح الفوزان,2,2025-10-16,السابع,Not Available,Mp3 Editor_251015222016.mp3,Series,Not Available,٩ / ٤ / ١٤٤٧,13:12,none
الملخص الفقهي,جامع الورود,Thursday,Fiqh,صالح الفوزان,3,2025-10-16,الثامن,Not Available,Mp3 Editor_251015225547.mp3,Series,Not Available,١٤ / ٤ / ١٤٤٧,09:58,none
الملخص الفقهي,جامع الورود,Thursday,Fiqh,صالح الفوزان,4,2025-11-27,السادس عشر,Not Available,Mp3 Editor_251127133423.mp3,Series,Not Available,١٢ / ٥ / ١٤٤٧,12:43,none
الملخص الفقهي,جامع الورود,Thursday,Fiqh,صالح الفوزان,5,2025-12-11,السابع عشر,Not Available,AUD-20251211-WA0003.m4a,Series,Not Available,١٤ / ٥ / ١٤٤٧,12:52,none
الملخص الفقهي,جامع الورود,Thursday,Fiqh,صالح الفوزان,6,2025-12-11,التاسع عشر,Not Available,AUD-20251211-WA0007.m4a,Series,Not Available,٢٦ / ٥ / ١٤٤٧,13:20,none
الملخص الفقهي,جامع الورود,Thursday,Fiqh,صالح الفوزان,7,2025-12-11,الثالث والعشرون,كتاب الصلاة ( ١ ),Ringtone_AUD-20251211-WA0008.mp3,Series,Not Available,١٧ / ٦ / ١٤٤٧,09:07,none
الملخص الفقهي,جامع الورود,Thursday,Fiqh,صالح الفوزان,8,2025-12-18,الرابع والعشرون,كتاب الصلاة ( ٢ ),AUD-20251217-WA0002.m4a,Series,Not Available,١٩ / ٦ / ١٤٤٧,16:01,none
الملخص الفقهي,جامع الورود,Thursday,Fiqh,صالح الفوزان,9,2025-12-18,الخامس والعشرون,كتاب الصلاة ( ٣ ),AUD-20251217-WA0003.m4a,Series,Not Available,٢٤ / ٦ / ١٤٤٧,16:37,none
الملخص الفقهي,جامع الورود,Thursday,Fiqh,صالح الفوزان,10,2026-01-01,الثامن والعشرون,كتاب الصلاة (٧ ),AUDIO-2025-12-31-17-11-22.m4a,Series,Not Available,١١/ ٧/ ١٤٤٧,19:26,none
الملخص شرح كتاب التوحيد,جامع الورود,Wednesday,Aqeedah,صالح الفوزان,1,2025-10-08,الأول,كتاب التوحيد,4_5996911497937164203.mp3,Series,Not Available,١٥ / ٣ / ١٤٤٧,14:48,none
الملخص شرح كتاب التوحيد,جامع الورود,Wednesday,Aqeedah,صالح الفوزان,2,2025-10-15,السادس,كتاب التوحيد,Mp3 Editor_251015104410.mp3,Series,Not Available,٦ / ٤ / ١٤٤٧,12:05,none
الملخص شرح كتاب التوحيد,جامع الورود,Wednesday,Aqeedah,صالح الفوزان,3,2025-10-15,السابع,كتاب التوحيد,Mp3 Editor_251015105458.mp3,Series,Not Available,٧ / ٤ / ١٤٤٧,14:05,none
الملخص شرح كتاب التوحيد,جامع الورود,Wednesday,Aqeedah,صالح الفوزان,4,2025-10-22,الثاني عشر,كتاب التوحيد,Mp3 Editor_251022061746.mp3,Series,Not Available,٢٧ / ٤ / ١٤٤٧,18:26,none
الملخص شرح كتاب التوحيد,جامع الورود,Wednesday,Aqeedah,صالح الفوزان,5,2025-10-29,الرابع عشر,كتاب التوحيد,AUD-20251029-WA0002.m4a,Series,Not Available,٤ / ٥ / ١٤٤٧,16:22,none
الملخص شرح كتاب التوحيد,جامع الورود,Wednesday,Aqeedah,صالح الفوزان,6,2025-10-29,الخامس عشر,كتاب التوحيد,Ringtone_AUD-20251029-WA0006.mp3,Series,Not Available,٦ / ٥ / ١٤٤٧,07:22,none
