SeriesName,Location,DaysTaught,ClassesPerWeek,Category,OriginalAuthor,LessonSeq,RecordingDate,DayOfWeek,Serial,SubTopic,TelegramFileName,Type,Topic,DateInArabic,ClipLength,doubtsStatus
Unknown,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Other,Not Available,38,2025-12-25,Thursday,Not Available,Not Available,Not Available,Series,Not Available,Not Available,Not Available,Type unclear - defaulted to Series; Series name not clearly identified; Serial number not found; Original author not found; Arabic date not found
Unknown,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Other,Not Available,39,2025-12-26,Friday,Not Available,Not Available,AUDIO-2025-12-26-14-10-13.m4a,Khutba,بدع شهر رجب,الجمعة ٦ / ٧ / ١٤٤٧,09:40,none
Unknown,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Other,Not Available,40,2025-12-28,Sunday,Not Available,Not Available,Not Available,Series,Not Available,Not Available,Not Available,Type unclear - defaulted to Series; Series name not clearly identified; Serial number not found; Original author not found; Arabic date not found
Unknown,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Other,Not Available,41,2026-01-02,Friday,Not Available,Not Available,Not Available,Series,Not Available,Not Available,Not Available,Series name not clearly identified; Serial number not found; Original author not found; Arabic date not found
Unknown,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Other,Not Available,42,2026-01-02,Friday,Not Available,Not Available,AUD-20260102-WA0003.mp3,Khutba,وقفات مع السيرة النبوية (٨),الجمعة ١٢ / ٧ / ١٤٤٧,12:27,none
Unknown,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Other,Not Available,43,2026-01-08,Thursday,Not Available,Not Available,AUDIO-2026-01-07-19-05-05.m4a,Series,Not Available,١٨ / ٧ / ١٤٤٧,48:20,Type unclear - defaulted to Series; Series name not clearly identified; Serial number not found; Original author not found
Unknown,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Other,Not Available,44,2026-01-14,Wednesday,Not Available,Not Available,Not Available,Series,Not Available,Not Available,Not Available,Type unclear - defaulted to Series; Series name not clearly identified; Serial number not found; Original author not found; Arabic date not found
Unknown,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Other,Not Available,45,2026-01-14,Wednesday,Not Available,Not Available,Not Available,Series,Not Available,Not Available,Not Available,Type unclear - defaulted to Series; Series name not clearly identified; Serial number not found; Original author not found; Arabic date not found
Unknown,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Other,Not Available,46,2026-01-15,Thursday,Not Available,Not Available,كلمة_لابن_عقيل_عن_النجمي_رحمه_الله.mp3,Series,Not Available,Not Available,01:32,Type unclear - defaulted to Series; Series name not clearly identified; Serial number not found; Original author not found; Arabic date not found
Unknown,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Other,Not Available,47,2026-01-16,Friday,Not Available,Not Available,AUDIO-2026-01-16-14-51-11.m4a,Khutba,وقفات مع السيرة النبوية (٩),الجمعة ٢٧ / ٧ / ١٤٤٧,12:27,none
