TelegramFileName,Type,Topic,SeriesName,SubTopic,Serial,OriginalAuthor,Location/Online,Sheikh,DateInArabic,DateInGreg,DayOfWeek,ClipLength,Category,MatchedBy,doubtsStatus
AUD-20251015-WA0055.m4a,Unknown,Not Available,Not Available,النكاح (٦),السابع والتسعون,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,17.10.2025,Friday,22:15,Other,Not Matched,"Could not match to schedule (Day: Friday, Location: جامع الورود)"
AUD-20251017-WA0000.m4a,Khutba,وقفات مع السيرة النبوية(٢).,Not Available,Not Available,Not Available,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,٢٥/ ٤ / ١٤٤٧,17.10.2025,Friday,09:44,Other,Khutba Detection,none
Mp3 Editor_251022060402.mp3,Unknown,Not Available,Not Available,Not Available,الرابع  بجامع,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,22.10.2025,Wednesday,53:01,Other,Not Matched,"Could not match to schedule (Day: Wednesday, Location: جامع الورود)"
Mp3 Editor_251022060954.mp3,Unknown,Not Available,Not Available,Not Available,الخامس  بجامع,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,22.10.2025,Wednesday,57:12,Other,Not Matched,"Could not match to schedule (Day: Wednesday, Location: جامع الورود)"
Mp3 Editor_251022061746.mp3,Unknown,Not Available,Not Available,التوحيد,الثاني عشر,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,22.10.2025,Wednesday,18:26,Other,Not Matched,"Could not match to schedule (Day: Wednesday, Location: جامع الورود)"
Not Available,Unknown,Not Available,Not Available,الصيام :( من كتاب تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام ),"(-02)-
✏️",Not Available,جامع الورود,حسن بن محمد منصور الدغريري,29 رجب 1437,23.10.2025,Thursday,Not Available,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
Not Available,Unknown,Not Available,Not Available,الصيام :( من كتاب تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام ),"(-03)-
✏️",Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Thursday,Not Available,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
Not Available,Unknown,Not Available,Not Available,الصيام :( من كتاب تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام ),"(-04)-
✏️",Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Thursday,Not Available,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
Not Available,Unknown,Not Available,Not Available,الصيام :( من كتاب تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام ),"(-05)-
✏️",Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Thursday,Not Available,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
Not Available,Unknown,Not Available,Not Available,الصيام : ( من كتاب تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام ),"(-06)-
✏️",Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Thursday,Not Available,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
