TelegramFileName,Type,Topic,SeriesName,SubTopic,Serial,OriginalAuthor,Location/Online,Sheikh,DateInArabic,DateInGreg,ClipLength,Category,doubtsStatus
Mp3 Editor_251015225547.mp3,Series,Not Available,الملخص الفقهي,Not Available,الثامن,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,١٤ / ٤ / ١٤٤٧,16.10.2025,09:58,Fiqh,none
Mp3 Editor_251015230010.mp3,Series,Not Available,الأفنان الندية,باب الرهن,السادس عشر,زيد بن هادي المدخلي,Online,حسن بن محمد منصور الدغريري,Not Available,16.10.2025,13:16,Fiqh,Arabic date not found
Mp3 Editor_251017120729.mp3,Series,Not Available,الملخص شرح كتاب التوحيد,كتاب التوحيد,التاسع,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,١٥ / ٤ / ١٤٤٧,17.10.2025,06:47,Aqeedah,none
AUD-20251012-WA0033.m4a,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,كتاب النكاح (٥),السادس والتسعون,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,17.10.2025,16:15,Hadeeth,Arabic date not found
Mp3 Editor_251017121802.mp3,Series,Not Available,الملخص الفقهي,Not Available,التاسع,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,١٦ / ٤ / ١٤٤٧,17.10.2025,08:25,Fiqh,none
Mp3 Editor_251017122120.mp3,Series,Not Available,التفسير الميسر,سورة عبس,السادس,نخبة من أهل العلم,جامع الورود,حسن بن محمد منصور الدغريري,١٩ / ٤ / ١٤٤٧,17.10.2025,07:15,Other,none
Mp3 Editor_251017122807.mp3,Series,Not Available,شرح السنة,Not Available,الرابع,أحمد النجمي,جامع الورود,حسن بن محمد منصور الدغريري,١٩ / ٤ / ١٤٤٧,17.10.2025,1:06,Aqeedah,none
AUD-20251012-WA0037.m4a,Series,Not Available,الأفنان الندية,باب الحوالة والضمان,السابع عشر,زيد بن هادي المدخلي,Online,حسن بن محمد منصور الدغريري,Not Available,17.10.2025,16:31,Fiqh,Arabic date not found
Mp3 Editor_251017153618.mp3,Series,Not Available,الملخص شرح كتاب التوحيد,كتاب التوحيد,العاشر,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,٢٠ / ٤ / ١٤٤٧,17.10.2025,09:22,Aqeedah,none
Mp3 Editor_251017153959.mp3,Series,Not Available,الملخص الفقهي,Not Available,العاشر,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,٢١ / ٤ / ١٤٤٧,17.10.2025,05:16,Fiqh,none
Mp3 Editor_251017165500.mp3,Series,Not Available,منظومة سلم الوصول,Not Available,السابع,حافظ حكمي,Online,حسن بن محمد منصور الدغريري,Not Available,17.10.2025,24:03,Aqeedah,Arabic date not found
Mp3 Editor_251017170123.mp3,Series,Not Available,الملخص شرح كتاب التوحيد,كتاب التوحيد,الحادي عشر,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,٢٢ / ٤ / ١٤٤٧,17.10.2025,07:50,Aqeedah,none
Mp3 Editor_251017170646.mp3,Series,Not Available,الملخص الفقهي,Not Available,الحادي عشر,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,٢٣ / ٤ / ١٤٤٧,17.10.2025,08:37,Fiqh,none
AUD-20251015-WA0055.m4a,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,كتاب النكاح (٦),السابع والتسعون,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,17.10.2025,22:15,Hadeeth,Arabic date not found
AUD-20251017-WA0000.m4a,Khutba,وقفات مع السيرة النبوية(٢),Not Available,Not Available,Not Available,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,الجمعة ٢٥/ ٤ / ١٤٤٧,17.10.2025,09:44,Other,none
Mp3 Editor_251022060402.mp3,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,Not Available,الرابع,أحمد النجمي,جامع الورود,حسن بن محمد منصور الدغريري,٢٦ / ٤ / ١٤٤٧,22.10.2025,53:01,Hadeeth,none
Mp3 Editor_251022060954.mp3,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,Not Available,الخامس,أحمد النجمي,جامع الورود,حسن بن محمد منصور الدغريري,٢٧ / ٤ / ١٤٤٧,22.10.2025,57:12,Hadeeth,none
Mp3 Editor_251022061746.mp3,Series,Not Available,الملخص شرح كتاب التوحيد,كتاب التوحيد,الثاني عشر,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,٢٧ / ٤ / ١٤٤٧,22.10.2025,18:26,Aqeedah,none
Not Available,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,كتاب الصيام :( من كتاب تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام ),Not Available,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,29 رجب 1437 ه,23.10.2025,Not Available,Hadeeth,Serial number not found
Not Available,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,كتاب الصيام :( من كتاب تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام ),Not Available,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Not Available,Hadeeth,Serial number not found; Arabic date not found
Not Available,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,كتاب الصيام :( من كتاب تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام ),Not Available,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Not Available,Hadeeth,Serial number not found; Arabic date not found
Not Available,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,كتاب الصيام :( من كتاب تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام ),Not Available,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Not Available,Hadeeth,Serial number not found; Arabic date not found
Not Available,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,كتاب الصيام : ( من كتاب تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام ),Not Available,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Not Available,Hadeeth,Serial number not found; Arabic date not found
Not Available,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,كتاب الصيام : ( من كتاب تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام ),Not Available,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Not Available,Hadeeth,Serial number not found; Arabic date not found
Not Available,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,كتاب الصيام : ( من كتاب تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام ),Not Available,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,29 رجب 1437 ه,23.10.2025,Not Available,Hadeeth,Serial number not found
Not Available,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,كتاب الطهارة,Not Available,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Not Available,Hadeeth,Serial number not found; Arabic date not found
Not Available,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,كتاب ( تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام ),Not Available,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,20 شوال 1437 ه,23.10.2025,Not Available,Hadeeth,Serial number not found
Not Available,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,كتاب الطهارة : من كتاب تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام.,Not Available,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,05 ذوالقعدة 1437 ه,23.10.2025,Not Available,Hadeeth,Type unclear - defaulted to Series; Serial number not found
Not Available,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,كتاب ( تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام ),Not Available,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Not Available,Hadeeth,Serial number not found; Arabic date not found
Not Available,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,كتاب الطهارة,Not Available,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Not Available,Hadeeth,Serial number not found; Arabic date not found
Not Available,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,Not Available,Not Available,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Not Available,Hadeeth,Serial number not found; Arabic date not found
Not Available,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,Not Available,025,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Not Available,Hadeeth,Arabic date not found
Not Available,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,Not Available,026,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Not Available,Hadeeth,Arabic date not found
Not Available,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,Not Available,027,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Not Available,Hadeeth,Arabic date not found
Not Available,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,Not Available,Not Available,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Not Available,Hadeeth,Serial number not found; Arabic date not found
Not Available,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,كتاب الصيام : ( من كتاب تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام ),Not Available,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,29 رجب 1437 ه,23.10.2025,Not Available,Hadeeth,Serial number not found
التعليق_على_كتاب_﴿تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة.mp3,Series,Not Available,Not Available,كتاب ﴿,Not Available,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,38:42,Other,Type unclear - defaulted to Series; Series name not clearly identified; Serial number not found; Original author not found; Arabic date not found
التعليق_على_كتاب_﴿تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة.mp3,Series,Not Available,Not Available,كتاب ﴿,Not Available,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,22:36,Other,Type unclear - defaulted to Series; Series name not clearly identified; Serial number not found; Original author not found; Arabic date not found
التعليق_على_تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_zos88VZk4dU.m4a,Series,Not Available,Not Available,كتاب ﴿,Not Available,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,27:12,Other,Type unclear - defaulted to Series; Series name not clearly identified; Serial number not found; Original author not found; Arabic date not found
التعليق_على_كتاب_﴿تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة.mp3,Series,Not Available,Not Available,كتاب ﴿,Not Available,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,45:14,Other,Type unclear - defaulted to Series; Series name not clearly identified; Serial number not found; Original author not found; Arabic date not found
التعليق_على_كتاب_﴿تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة.mp3,Series,Not Available,Not Available,كتاب ﴿,Not Available,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,26:21,Other,Type unclear - defaulted to Series; Series name not clearly identified; Serial number not found; Original author not found; Arabic date not found
التعليق_على_كتاب_تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة.mp3,Series,Not Available,Not Available,كتاب ﴿,Not Available,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,26:21,Other,Type unclear - defaulted to Series; Series name not clearly identified; Serial number not found; Original author not found; Arabic date not found
