SequenceInSeries,SeriesName,Location,DayOfWeek,RecordingDate,TelegramFileName,Type,Topic,SubTopic,Serial,OriginalAuthor,Sheikh,DateInArabic,DateInGreg,ClipLength,Category,MatchedBy,doubtsStatus
47,Unknown,جامع الورود,Sunday,2025-10-26,Mp3 Editor_251026014231.mp3,Unknown,Not Available,Not Available,الأول  بجامع,Not Available,حسن بن محمد منصور الدغريري,Not Available,26.10.2025,48:16,Other,Not Matched,"Could not match to schedule (Day: Sunday, Location: جامع الورود)"
48,Unknown,جامع الورود,Sunday,2025-10-26,Mp3 Editor_251026014901.mp3,Unknown,Not Available,Not Available,السابع في,Not Available,حسن بن محمد منصور الدغريري,Not Available,26.10.2025,05:47,Other,Not Matched,"Could not match to schedule (Day: Sunday, Location: جامع الورود)"
49,Unknown,جامع الورود,Sunday,2025-10-26,Mp3 Editor_251026020733.mp3,Unknown,Not Available,Not Available,الأول  بجامع,Not Available,حسن بن محمد منصور الدغريري,Not Available,26.10.2025,51:42,Other,Not Matched,"Could not match to schedule (Day: Sunday, Location: جامع الورود)"
50,Unknown,جامع الورود,Sunday,2025-10-26,Mp3 Editor_251026021742.mp3,Unknown,Not Available,Not Available,الثاني عشر,Not Available,حسن بن محمد منصور الدغريري,Not Available,26.10.2025,11:02,Other,Not Matched,"Could not match to schedule (Day: Sunday, Location: جامع الورود)"
51,Unknown,جامع الورود,Sunday,2025-10-26,Mp3 Editor_251026023758.mp3,Unknown,Not Available,Not Available,الثالث عشر,Not Available,حسن بن محمد منصور الدغريري,Not Available,26.10.2025,10:56,Other,Not Matched,"Could not match to schedule (Day: Sunday, Location: جامع الورود)"
52,Unknown,جامع الورود,Sunday,2025-10-26,AUD-20251026-WA0003.m4a,Unknown,Not Available,Not Available,Not Available,Not Available,حسن بن محمد منصور الدغريري,٥/ ٢ / ١٤٤٧,26.10.2025,10:45,Other,Not Matched,"Could not match to schedule (Day: Sunday, Location: جامع الورود)"
53,Unknown,جامع الورود,Sunday,2025-10-26,Mp3 Editor_251026070944.mp3,Unknown,Not Available,Not Available,الثامن في,Not Available,حسن بن محمد منصور الدغريري,Not Available,26.10.2025,09:55,Other,Not Matched,"Could not match to schedule (Day: Sunday, Location: جامع الورود)"
54,Unknown,جامع الورود,Sunday,2025-10-26,Mp3 Editor_251026073039.mp3,Unknown,Not Available,Not Available,الثاني  بجامع,Not Available,حسن بن محمد منصور الدغريري,Not Available,26.10.2025,1:08,Other,Not Matched,"Could not match to schedule (Day: Sunday, Location: جامع الورود)"
55,Unknown,جامع الورود,Sunday,2025-10-26,Mp3 Editor_251026073911.mp3,Unknown,Not Available,Not Available,السادس  بجامع,Not Available,حسن بن محمد منصور الدغريري,Not Available,26.10.2025,1:03,Other,Not Matched,"Could not match to schedule (Day: Sunday, Location: جامع الورود)"
56,Unknown,جامع الورود,Wednesday,2025-10-29,Not Available,Unknown,Not Available,Not Available,Not Available,Not Available,حسن بن محمد منصور الدغريري,Not Available,29.10.2025,Not Available,Other,Not Matched,"Could not match to schedule (Day: Wednesday, Location: جامع الورود)"
57,Unknown,جامع الورود,Tuesday,2025-11-04,AUD-20251104-WA0000.m4a,Unknown,Not Available,Not Available,الخامس عشر,Not Available,حسن بن محمد منصور الدغريري,Not Available,04.11.2025,15:18,Other,Not Matched,"Could not match to schedule (Day: Tuesday, Location: جامع الورود)"
58,Unknown,جامع الورود,Tuesday,2025-11-18,Not Available,Unknown,Not Available,Not Available,Not Available,Not Available,حسن بن محمد منصور الدغريري,Not Available,18.11.2025,Not Available,Other,Not Matched,"Could not match to schedule (Day: Tuesday, Location: جامع الورود)"
59,Unknown,جامع الورود,Thursday,2025-11-27,Mp3 Editor_251127124529.mp3,Unknown,Not Available,Not Available,السادس  بجامع,Not Available,حسن بن محمد منصور الدغريري,Not Available,27.11.2025,42:40,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
60,Unknown,جامع الورود,Thursday,2025-11-27,Mp3 Editor_251127133423.mp3,Unknown,Not Available,Not Available,السادس عشر,Not Available,حسن بن محمد منصور الدغريري,Not Available,27.11.2025,12:43,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
61,Unknown,جامع الورود,Thursday,2025-11-27,Mp3 Editor_251127133948.mp3,Unknown,Not Available,Not Available,السابع  بجامع,Not Available,حسن بن محمد منصور الدغريري,Not Available,27.11.2025,43:57,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
62,Unknown,جامع الورود,Friday,2025-11-28,Not Available,Khutba,"مستل من خطبة الجمعة:
فصل الشتاء",Not Available,Not Available,Not Available,حسن بن محمد منصور الدغريري,Not Available,28.11.2025,Not Available,Other,Khutba Detection,none
63,Unknown,جامع الورود,Friday,2025-11-28,AUDIO-2025-11-28-23-15-18.m4a,Khutba,#خطبة_الجمعة,Not Available,Not Available,Not Available,حسن بن محمد منصور الدغريري,٧ / ٦ / ١٤٤٧,28.11.2025,12:16,Other,Khutba Detection,none
